# Model Metadata
# n_ctx: 131072
# n_predict: 20
# model_size_bytes: 799862912
# n_params: 1235814432
phase,token_index,tensor_name,op_type,time_ns,size_bytes,n_elements,papi_tot_cyc,papi_tot_ins,papi_l3_tcm,papi_l1_dcm
prefill,0,Kcur-2,ROPE,6700,4096,1024,10599,12207,4,239
prefill,0,Kcur-2 (view),VIEW,3957,4096,1024,1815,2682,1,41
prefill,0,cache_k_l2 (view),SET_ROWS,4425,134217728,67108864,3708,3448,45,118
prefill,0,Vcur-2 (view),VIEW,3911,4096,1024,1684,2671,2,23
prefill,0,cache_v_l2 (view),SET_ROWS,4787,134217728,67108864,5206,3568,39,145
prefill,0,Qcur-2 (view),VIEW,4031,16384,4096,1543,2562,0,22
prefill,0,Qcur-2 (view) (permuted),PERMUTE,3946,16384,4096,1577,2735,0,25
prefill,0,cache_k_l2 (view),VIEW,3865,262144,131072,1637,2715,0,17
prefill,0,cache_k_l2 (view) (permuted),PERMUTE,3891,262144,131072,1757,2674,0,17
prefill,0,cache_v_l2 (view),VIEW,4349,262144,131072,3468,2865,4,23
prefill,0,cache_v_l2 (view) (permuted),PERMUTE,3981,262144,131072,1956,2765,9,20
prefill,0,__fattn__-2,FLASH_ATTN_EXT,20815,16384,4096,68902,139096,73,1325
prefill,0,kqv_out-2,RESHAPE,4002,16384,4096,1871,2666,0,95
prefill,0,attn_out-2,MUL_MAT,97775,16384,4096,372331,864515,6772,19294
prefill,0,ffn_inp-2,ADD,6401,16384,4096,10446,9358,3,543
prefill,0,norm-2,RMS_NORM,8359,16384,4096,19135,22321,5,352
prefill,0,ffn_norm-2,MUL,6665,16384,4096,11336,9248,108,355
prefill,0,ffn_gate-2,MUL_MAT,368810,65536,16384,1486154,3338034,27629,74924
prefill,0,ffn_up-2,MUL_MAT,368995,65536,16384,1511512,3338029,27802,75007
prefill,0,ffn_swiglu-2,GLU,16176,65536,16384,50561,22127,241,1849
prefill,0,ffn_out-2,MUL_MAT,403202,16384,4096,1699332,3421419,27600,78743
prefill,0,l_out-2,ADD,8388,16384,4096,16022,9464,38,524
prefill,0,norm-3,RMS_NORM,8573,16384,4096,20923,22377,31,357
prefill,0,attn_norm-3,MUL,6413,16384,4096,10816,9220,96,374
prefill,0,Qcur-3,MUL_MAT,96475,16384,4096,384148,864614,6743,19160
prefill,0,Qcur-3 (reshaped),RESHAPE,4032,16384,4096,2144,2707,8,110
prefill,0,Qcur-3,ROPE,7019,16384,4096,13857,14207,13,338
prefill,0,Vcur-3,MUL_MAT,31196,4096,1024,115661,246008,1668,3374
prefill,0,Vcur-3,RESHAPE,3885,4096,1024,1860,2675,0,105
prefill,0,Kcur-3,MUL_MAT,30174,4096,1024,110219,245475,1642,3392
prefill,0,Kcur-3 (reshaped),RESHAPE,3858,4096,1024,1758,2702,0,102
prefill,0,Kcur-3,ROPE,6062,4096,1024,10477,12225,1,239
prefill,0,Kcur-3 (view),VIEW,3865,4096,1024,1819,2680,7,45
prefill,0,cache_k_l3 (view),SET_ROWS,4526,134217728,67108864,3681,3459,40,125
prefill,0,Vcur-3 (view),VIEW,4109,4096,1024,1696,2675,1,22
prefill,0,cache_v_l3 (view),SET_ROWS,4427,134217728,67108864,3886,3573,43,140
prefill,0,Qcur-3 (view),VIEW,3743,16384,4096,1497,2735,6,24
prefill,0,Qcur-3 (view) (permuted),PERMUTE,5280,16384,4096,3233,2744,3,67
prefill,0,cache_k_l3 (view),VIEW,5441,262144,131072,2939,2732,0,96
prefill,0,cache_k_l3 (view) (permuted),PERMUTE,6020,262144,131072,2670,2720,0,89
prefill,0,cache_v_l3 (view),VIEW,3944,262144,131072,1967,2841,0,37
prefill,0,cache_v_l3 (view) (permuted),PERMUTE,3891,262144,131072,1846,2582,4,22
prefill,0,__fattn__-3,FLASH_ATTN_EXT,20798,16384,4096,72115,117992,86,1246
prefill,0,kqv_out-3,RESHAPE,4282,16384,4096,3588,2671,7,98
prefill,0,attn_out-3,MUL_MAT,97404,16384,4096,392934,865169,6593,19227
prefill,0,ffn_inp-3,ADD,6765,16384,4096,12975,9380,7,553
prefill,0,norm-3,RMS_NORM,8104,16384,4096,18631,22314,3,362
prefill,0,ffn_norm-3,MUL,7020,16384,4096,12163,9279,128,525
prefill,0,ffn_gate-3,MUL_MAT,377658,65536,16384,1553359,3342917,25269,75009
prefill,0,ffn_up-3,MUL_MAT,422553,65536,16384,1789781,3350906,26424,75144
prefill,0,ffn_swiglu-3,GLU,16803,65536,16384,54122,22236,236,1853
prefill,0,ffn_out-3,MUL_MAT,421848,16384,4096,1787527,3425760,26226,79295
prefill,0,l_out-3,ADD,8503,16384,4096,16154,9337,64,535
prefill,0,norm-4,RMS_NORM,7935,16384,4096,18755,22347,23,264
prefill,0,attn_norm-4,MUL,6452,16384,4096,12705,9286,105,351
prefill,0,Qcur-4,MUL_MAT,100489,16384,4096,365941,864418,6791,19234
prefill,0,Qcur-4 (reshaped),RESHAPE,4428,16384,4096,2343,2691,17,107
prefill,0,Qcur-4,ROPE,7276,16384,4096,13575,14102,29,352
prefill,0,Vcur-4,MUL_MAT,39296,4096,1024,139945,274969,3102,4428
prefill,0,Vcur-4,RESHAPE,4084,4096,1024,1870,2671,0,108
prefill,0,Kcur-4,MUL_MAT,32712,4096,1024,115138,246058,1674,3398
prefill,0,Kcur-4 (reshaped),RESHAPE,4131,4096,1024,2149,2677,1,109
prefill,0,Kcur-4,ROPE,6275,4096,1024,10149,12230,1,228
prefill,0,Kcur-4 (view),VIEW,3997,4096,1024,1711,2677,0,49
prefill,0,cache_k_l4 (view),SET_ROWS,4527,134217728,67108864,3640,3434,40,121
prefill,0,Vcur-4 (view),VIEW,4048,4096,1024,1617,2502,0,28
prefill,0,cache_v_l4 (view),SET_ROWS,4530,134217728,67108864,3717,3568,47,154
prefill,0,Qcur-4 (view),VIEW,3936,16384,4096,1551,2731,6,28
prefill,0,Qcur-4 (view) (permuted),PERMUTE,4202,16384,4096,1593,2711,0,20
prefill,0,cache_k_l4 (view),VIEW,3976,262144,131072,1591,2694,0,16
prefill,0,cache_k_l4 (view) (permuted),PERMUTE,4628,262144,131072,1637,2671,0,14
prefill,0,cache_v_l4 (view),VIEW,3978,262144,131072,1630,2858,0,24
prefill,0,cache_v_l4 (view) (permuted),PERMUTE,3991,262144,131072,1614,2751,4,17
prefill,0,__fattn__-4,FLASH_ATTN_EXT,22894,16384,4096,75989,96823,80,1108
prefill,0,kqv_out-4,RESHAPE,4087,16384,4096,1873,2671,0,99
prefill,0,attn_out-4,MUL_MAT,94024,16384,4096,359642,864263,6843,19220
prefill,0,ffn_inp-4,ADD,6777,16384,4096,10343,9292,27,560
prefill,0,norm-4,RMS_NORM,8326,16384,4096,17796,22275,9,352
prefill,0,ffn_norm-4,MUL,6537,16384,4096,9978,9211,98,361
prefill,0,ffn_gate-4,MUL_MAT,371764,65536,16384,1493417,3339188,27683,74939
prefill,0,ffn_up-4,MUL_MAT,362274,65536,16384,1457879,3338129,27838,75027
prefill,0,ffn_swiglu-4,GLU,15604,65536,16384,49853,22195,181,1855
prefill,0,ffn_out-4,MUL_MAT,425912,16384,4096,1806763,3852260,46728,116593
prefill,0,l_out-4,ADD,8135,16384,4096,15708,9417,37,528
prefill,0,norm-5,RMS_NORM,8036,16384,4096,18526,22285,28,351
prefill,0,attn_norm-5,MUL,6691,16384,4096,12868,9261,108,369
prefill,0,Qcur-5,MUL_MAT,94004,16384,4096,387791,864786,6954,19191
prefill,0,Qcur-5 (reshaped),RESHAPE,4170,16384,4096,2667,2666,17,115
